Name,Hex (RGB),Red (RGB),Green (RGB),Blue (RGB),Hue (HSL/HSV),Saturation (HSL),Light (HSL),Saturation (HSV),Value (HSV)
Electric purple ,#BF00FF ,75.00%,0.00%,100.00%,285° ,100.00%,50.00%,100.00%,100.00%
Electric violet ,#8F00FF ,56.00%,0.00%,100.00%,274° ,100.00%,50.00%,100.00%,100.00%
Emerald ,#50C878 ,31.00%,78.00%,47.00%,140° ,52.00%,55.00%,60.00%,78.00%
Eminence ,#6C3082 ,42.00%,19.00%,51.00%,284° ,46.00%,35.00%,63.00%,51.00%
English lavender ,#B48395 ,71.00%,51.00%,58.00%,338° ,25.00%,61.00%,27.00%,71.00%
English red ,#AB4B52 ,67.00%,29.00%,32.00%,356° ,39.00%,48.00%,56.00%,67.00%
English vermillion ,#CC474B ,80.00%,28.00%,29.00%,358° ,57.00%,54.00%,65.00%,80.00%
English violet ,#563C5C ,34.00%,24.00%,36.00%,289° ,21.00%,30.00%,35.00%,36.00%
Erin ,#00FF40 ,0.00%,100.00%,25.00%,135° ,100.00%,50.00%,100.00%,100.00%
Eton blue ,#96C8A2 ,59.00%,78.00%,64.00%,134° ,31.00%,69.00%,25.00%,78.00%
Fallow ,#C19A6B ,76.00%,60.00%,42.00%,33° ,41.00%,59.00%,45.00%,76.00%
Falu red ,#801818 ,50.00%,9.00%,9.00%,0° ,68.00%,30.00%,81.00%,50.00%
Fandango ,#B53389 ,71.00%,20.00%,54.00%,320° ,56.00%,46.00%,72.00%,71.00%
Fandango pink ,#DE5285 ,87.00%,32.00%,52.00%,338° ,68.00%,60.00%,63.00%,87.00%
Fawn ,#E5AA70 ,90.00%,67.00%,44.00%,30° ,69.00%,67.00%,51.00%,90.00%
Fern green ,#4F7942 ,31.00%,47.00%,26.00%,106° ,29.00%,37.00%,45.00%,47.00%
Field drab ,#6C541E ,42.00%,33.00%,12.00%,42° ,57.00%,27.00%,72.00%,42.00%
Fiery rose ,#FF5470 ,100.00%,33.00%,44.00%,350° ,100.00%,67.00%,67.00%,100.00%
Finn ,#683068 ,41.00%,19.00%,41.00%,300° ,37.00%,30.00%,54.00%,41.00%
Firebrick ,#B22222 ,70.00%,13.00%,13.00%,0° ,68.00%,42.00%,81.00%,70.00%
Fire engine red ,#CE2029 ,81.00%,13.00%,16.00%,357° ,73.00%,47.00%,84.00%,81.00%
Flame ,#E25822 ,89.00%,35.00%,13.00%,17° ,77.00%,51.00%,85.00%,89.00%
Flax ,#EEDC82 ,93.00%,86.00%,51.00%,50° ,76.00%,72.00%,45.00%,93.00%
Flirt ,#A2006D ,64.00%,0.00%,43.00%,320° ,100.00%,32.00%,100.00%,64.00%
Floral white ,#FFFAF0 ,100.00%,98.00%,94.00%,40° ,100.00%,97.00%,6.00%,100.00%
Forest green (web) ,#228B22 ,13.00%,55.00%,13.00%,120° ,61.00%,34.00%,76.00%,55.00%
French beige ,#A67B5B ,65.00%,48.00%,36.00%,26° ,30.00%,50.00%,45.00%,65.00%
French bistre ,#856D4D ,52.00%,43.00%,30.00%,34° ,27.00%,41.00%,42.00%,52.00%
French blue ,#0072BB ,0.00%,45.00%,73.00%,203° ,100.00%,37.00%,100.00%,73.00%
French fuchsia ,#FD3F92 ,99.00%,25.00%,57.00%,334° ,98.00%,62.00%,75.00%,99.00%
French lilac ,#86608E ,53.00%,38.00%,56.00%,290° ,19.00%,47.00%,32.00%,56.00%
French lime ,#9EFD38 ,62.00%,99.00%,22.00%,89° ,98.00%,61.00%,78.00%,99.00%
French mauve ,#D473D4 ,83.00%,45.00%,83.00%,300° ,53.00%,64.00%,46.00%,83.00%
French pink ,#FD6C9E ,99.00%,42.00%,62.00%,339° ,97.00%,71.00%,57.00%,99.00%
French raspberry ,#C72C48 ,78.00%,17.00%,28.00%,349° ,64.00%,48.00%,78.00%,78.00%
French sky blue ,#77B5FE ,47.00%,71.00%,100.00%,212° ,99.00%,73.00%,53.00%,100.00%
French violet ,#8806CE ,53.00%,2.00%,81.00%,279° ,94.00%,42.00%,97.00%,81.00%
Frostbite ,#E936A7 ,91.00%,21.00%,65.00%,322° ,80.00%,56.00%,77.00%,91.00%
Fuchsia ,#FF00FF ,100.00%,0.00%,100.00%,300° ,100.00%,50.00%,100.00%,100.00%
Fuchsia (Crayola) ,#C154C1 ,76.00%,33.00%,76.00%,300° ,47.00%,54.00%,56.00%,76.00%
Fulvous ,#E48400 ,89.00%,52.00%,0.00%,35° ,100.00%,45.00%,100.00%,89.00%
Fuzzy Wuzzy ,#87421F ,53.00%,26.00%,12.00%,20° ,63.00%,33.00%,77.00%,53.00%
Gainsboro ,#DCDCDC ,86.00%,86.00%,86.00%,—° ,0.00%,86.00%,0.00%,86.00%
Gamboge ,#E49B0F ,89.00%,61.00%,6.00%,39° ,88.00%,48.00%,93.00%,89.00%
Generic viridian ,#007F66 ,0.00%,50.00%,40.00%,168° ,100.00%,25.00%,100.00%,50.00%
Ghost white ,#F8F8FF ,97.00%,97.00%,100.00%,240° ,100.00%,99.00%,3.00%,100.00%
Glaucous ,#6082B6 ,38.00%,51.00%,71.00%,216° ,37.00%,55.00%,47.00%,71.00%
Glossy grape ,#AB92B3 ,67.00%,57.00%,70.00%,285° ,18.00%,64.00%,18.00%,70.00%
GO green ,#00AB66 ,0.00%,67.00%,40.00%,156° ,100.00%,34.00%,100.00%,67.00%
Gold (metallic) ,#D4AF37 ,83.00%,69.00%,22.00%,46° ,65.00%,52.00%,74.00%,83.00%
Gold (web) (Golden) ,#FFD700 ,100.00%,84.00%,0.00%,51° ,100.00%,50.00%,100.00%,100.00%
Gold (Crayola) ,#E6BE8A ,90.00%,75.00%,54.00%,34° ,65.00%,72.00%,40.00%,90.00%
Gold Fusion ,#85754E ,52.00%,46.00%,31.00%,43° ,26.00%,41.00%,41.00%,52.00%
Golden brown ,#996515 ,60.00%,40.00%,8.00%,36° ,76.00%,34.00%,86.00%,60.00%
Golden poppy ,#FCC200 ,99.00%,76.00%,0.00%,46° ,100.00%,49.00%,100.00%,99.00%
Golden yellow ,#FFDF00 ,100.00%,87.00%,0.00%,52° ,100.00%,50.00%,100.00%,100.00%
Goldenrod ,#DAA520 ,85.00%,65.00%,13.00%,43° ,74.00%,49.00%,85.00%,85.00%
Gotham green ,#00573F ,0.00%,34.00%,25.00%,168° ,100.00%,17.00%,100.00%,34.10%
Granite gray ,#676767 ,40.00%,40.00%,40.00%,—° ,0.00%,40.00%,0.00%,40.00%
Granny Smith apple ,#A8E4A0 ,66.00%,89.00%,63.00%,113° ,56.00%,76.00%,30.00%,89.00%
Gray (web) ,#808080 ,50.00%,50.00%,50.00%,—° ,0.00%,50.00%,0.00%,50.00%
Gray (X11 gray) ,#BEBEBE ,75.00%,75.00%,75.00%,—° ,0.00%,75.00%,0.00%,75.00%
Green ,#00FF00 ,0.00%,100.00%,0.00%,120° ,100.00%,50.00%,100.00%,100.00%
Green (Crayola) ,#1CAC78 ,11.00%,67.00%,47.00%,158° ,72.00%,39.00%,84.00%,67.00%
Green (web) ,#008000 ,0.00%,50.00%,0.00%,120° ,100.00%,25.00%,100.00%,50.00%
Green (Munsell) ,#00A877 ,0.00%,66.00%,47.00%,163° ,100.00%,33.00%,100.00%,66.00%
Green (NCS) ,#009F6B ,0.00%,62.00%,42.00%,160° ,100.00%,31.00%,100.00%,62.00%
Green (Pantone) ,#00AD43 ,0.00%,68.00%,26.00%,143° ,100.00%,34.00%,100.00%,68.00%
Green (pigment) ,#00A550 ,0.00%,65.00%,31.00%,149° ,100.00%,32.00%,100.00%,65.00%
Green-blue ,#1164B4 ,7.00%,39.00%,71.00%,209° ,83.00%,39.00%,91.00%,71.00%
Green Lizard ,#A7F432 ,65.00%,96.00%,20.00%,84° ,90.00%,58.00%,80.00%,96.00%
Green Sheen ,#6EAEA1 ,43.00%,68.00%,63.00%,168° ,28.00%,56.00%,37.00%,68.00%
Gunmetal ,#2a3439 ,16.00%,20.00%,22.00%,200° ,15.00%,19.00%,15.00%,19.00%
Hansa yellow ,#E9D66B ,91.00%,84.00%,42.00%,51° ,74.00%,67.00%,54.00%,91.00%
Harlequin ,#3FFF00 ,25.00%,100.00%,0.00%,105° ,100.00%,50.00%,100.00%,100.00%
Harvest gold ,#DA9100 ,85.00%,57.00%,0.00%,40° ,100.00%,43.00%,100.00%,85.00%
Heat Wave ,#FF7A00 ,100.00%,48.00%,0.00%,29° ,100.00%,50.00%,100.00%,100.00%
Heliotrope ,#DF73FF ,87.00%,45.00%,100.00%,286° ,100.00%,73.00%,55.00%,100.00%
Heliotrope gray ,#AA98A9 ,67.00%,60.00%,66.00%,303° ,10.00%,63.00%,11.00%,67.00%
Hollywood cerise ,#F400A1 ,96.00%,0.00%,63.00%,320° ,100.00%,48.00%,100.00%,96.00%
Honolulu blue ,#006DB0 ,0.00%,43.00%,69.00%,203° ,100.00%,35.00%,100.00%,69.00%
Hooker's green ,#49796B ,29.00%,47.00%,42.00%,163° ,25.00%,38.00%,40.00%,47.00%
Hot magenta[broken anchor] ,#FF1DCE ,100.00%,11.00%,81.00%,313° ,100.00%,56.00%,89.00%,100.00%
Hot pink ,#FF69B4 ,100.00%,41.00%,71.00%,330° ,100.00%,71.00%,59.00%,100.00%
Hunter green ,#355E3B ,21.00%,37.00%,23.00%,129° ,28.00%,29.00%,44.00%,37.00%
Iceberg ,#71A6D2 ,44.00%,65.00%,82.00%,207° ,52.00%,63.00%,46.00%,82.00%
Illuminating emerald ,#319177 ,19.00%,57.00%,47.00%,164° ,49.00%,38.00%,66.00%,57.00%
Imperial red ,#ED2939 ,93.00%,16.00%,22.00%,355° ,84.00%,55.00%,83.00%,93.00%
Inchworm ,#B2EC5D ,70.00%,93.00%,36.00%,84° ,79.00%,65.00%,61.00%,93.00%
Independence ,#4C516D ,30.00%,32.00%,43.00%,231° ,18.00%,36.00%,30.00%,43.00%
India green ,#138808 ,7.00%,53.00%,3.00%,115° ,89.00%,28.00%,94.00%,53.00%
Indian red ,#CD5C5C ,80.00%,36.00%,36.00%,0° ,53.00%,58.00%,55.00%,80.00%
Indian yellow ,#E3A857 ,89.00%,66.00%,34.00%,35° ,71.00%,62.00%,62.00%,89.00%
Indigo ,#6A5DFF ,42.00%,36.00%,100.00%,245° ,100.00%,68.00%,64.00%,100.00%
Indigo dye ,#00416A ,0.00%,25.00%,42.00%,203° ,100.00%,21.00%,100.00%,42.00%
International Klein Blue ,#130a8f ,7.00%,4.00%,56.00%,244° ,87.00%,30.00%,87.00%,56.00%
International orange (engineering) ,#BA160C ,73.00%,9.00%,5.00%,3° ,88.00%,39.00%,94.00%,73.00%
International orange (Golden Gate Bridge) ,#C0362C ,75.00%,21.00%,17.00%,4° ,63.00%,46.00%,77.00%,75.00%
Irresistible ,#B3446C ,70.00%,27.00%,42.00%,338° ,45.00%,48.00%,62.00%,70.00%
Isabelline ,#F4F0EC ,96.00%,94.00%,93.00%,30° ,27.00%,94.00%,3.00%,96.00%
Italian sky blue ,#B2FFFF ,70.00%,100.00%,100.00%,180° ,100.00%,85.00%,30.00%,100.00%
Ivory ,#FFFFF0 ,100.00%,100.00%,94.00%,60° ,100.00%,97.00%,6.00%,100.00%
Japanese carmine ,#9D2933 ,62.00%,16.00%,20.00%,355° ,59.00%,39.00%,74.00%,62.00%
Japanese violet ,#5B3256 ,36.00%,20.00%,34.00%,307° ,29.00%,28.00%,45.00%,36.00%
Jasmine ,#F8DE7E ,97.00%,87.00%,49.00%,47° ,90.00%,73.00%,49.00%,97.00%
Jazzberry jam ,#A50B5E ,65.00%,4.00%,37.00%,328° ,88.00%,35.00%,93.00%,65.00%
Jet ,#343434 ,20.00%,20.00%,20.00%,—° ,0.00%,20.00%,0.00%,20.00%
Jonquil ,#F4CA16 ,96.00%,79.00%,9.00%,49° ,91.00%,52.00%,91.00%,96.00%
June bud ,#BDDA57 ,74.00%,85.00%,34.00%,73° ,64.00%,60.00%,60.00%,85.00%
Jungle green ,#29AB87 ,16.00%,67.00%,53.00%,163° ,61.00%,42.00%,76.00%,67.00%
Kelly green ,#4CBB17 ,30.00%,73.00%,9.00%,101° ,78.00%,41.00%,88.00%,73.00%
Keppel ,#3AB09E ,23.00%,69.00%,62.00%,171° ,50.00%,46.00%,67.00%,69.00%
Key lime ,#E8F48C ,91.00%,96.00%,55.00%,67° ,83.00%,75.00%,43.00%,96.00%
Khaki (web) ,#C3B091 ,76.00%,69.00%,57.00%,37° ,29.00%,67.00%,26.00%,76.00%
Khaki (X11) (Light khaki) ,#F0E68C ,94.00%,90.00%,55.00%,54° ,77.00%,75.00%,42.00%,94.00%
Kobe ,#882D17 ,53.00%,18.00%,9.00%,12° ,71.00%,31.00%,83.00%,53.00%
Kobi ,#E79FC4 ,91.00%,62.00%,77.00%,329° ,60.00%,76.00%,31.00%,91.00%
Kobicha ,#6B4423 ,42.00%,27.00%,14.00%,28° ,51.00%,28.00%,67.00%,42.00%
KSU purple ,#512888 ,31.00%,15.00%,51.00%,266° ,55.00%,33.00%,71.00%,53.00%
Languid lavender ,#D6CADD ,84.00%,79.00%,87.00%,278° ,22.00%,83.00%,9.00%,87.00%
Lapis lazuli ,#26619C ,15.00%,38.00%,61.00%,210° ,61.00%,38.00%,76.00%,61.00%
Laser lemon ,#FFFF66 ,100.00%,100.00%,40.00%,60° ,100.00%,70.00%,60.00%,100.00%
Laurel green ,#A9BA9D ,66.00%,73.00%,62.00%,95° ,17.00%,67.00%,16.00%,73.00%
Lava ,#CF1020 ,81.00%,6.00%,13.00%,355° ,86.00%,44.00%,92.00%,81.00%
Lavender (floral) ,#B57EDC ,71.00%,49.00%,86.00%,275° ,57.00%,68.00%,43.00%,86.00%
Lavender (web) ,#E6E6FA ,90.00%,90.00%,98.00%,240° ,67.00%,94.00%,8.00%,98.00%
Lavender blue ,#CCCCFF ,80.00%,80.00%,100.00%,240° ,100.00%,90.00%,20.00%,100.00%
Lavender blush ,#FFF0F5 ,100.00%,94.00%,96.00%,340° ,100.00%,97.00%,6.00%,100.00%
Lavender gray ,#C4C3D0 ,77.00%,76.00%,82.00%,245° ,12.00%,79.00%,6.00%,82.00%
Lawn green ,#7CFC00 ,49.00%,99.00%,0.00%,90° ,100.00%,49.00%,100.00%,99.00%
Lemon ,#FFF700 ,100.00%,97.00%,0.00%,58° ,100.00%,50.00%,100.00%,100.00%
Lemon chiffon ,#FFFACD ,100.00%,98.00%,80.00%,54° ,100.00%,90.00%,20.00%,100.00%
Lemon curry ,#CCA01D ,80.00%,63.00%,11.00%,45° ,75.00%,46.00%,86.00%,80.00%
Lemon glacier ,#FDFF00 ,99.00%,100.00%,0.00%,60° ,100.00%,50.00%,100.00%,100.00%
Lemon meringue ,#F6EABE ,96.00%,92.00%,75.00%,47° ,76.00%,85.00%,23.00%,96.00%
Lemon yellow ,#FFF44F ,100.00%,96.00%,31.00%,56° ,100.00%,65.00%,69.00%,100.00%
Lemon yellow (Crayola) ,#FFFF9F ,100.00%,100.00%,62.00%,60° ,100.00%,81.00%,38.00%,100.00%
Liberty ,#545AA7 ,33.00%,35.00%,65.00%,236° ,33.00%,49.00%,50.00%,65.00%
Light blue ,#ADD8E6 ,68.00%,85.00%,90.00%,195° ,53.00%,79.00%,25.00%,90.00%
Light coral ,#F08080 ,94.00%,50.00%,50.00%,0° ,79.00%,72.00%,47.00%,94.00%
Light cornflower blue ,#93CCEA ,58.00%,80.00%,92.00%,201° ,67.00%,75.00%,37.00%,92.00%
Light cyan ,#E0FFFF ,88.00%,100.00%,100.00%,180° ,100.00%,94.00%,12.00%,100.00%
Light French beige ,#C8AD7F ,78.00%,68.00%,50.00%,38° ,40.00%,64.00%,37.00%,78.00%
Light goldenrod yellow ,#FAFAD2 ,98.00%,98.00%,82.00%,60° ,80.00%,90.00%,16.00%,98.00%
Light gray ,#D3D3D3 ,83.00%,83.00%,83.00%,—° ,0.00%,83.00%,0.00%,83.00%
Light green ,#90EE90 ,56.00%,93.00%,56.00%,120° ,73.00%,75.00%,39.00%,93.00%
Light orange ,#FED8B1 ,100.00%,85.00%,69.00%,30° ,98.00%,85.00%,30.00%,100.00%
Light periwinkle ,#C5CBE1 ,77.00%,80.00%,88.00%,228° ,32.00%,83.00%,12.00%,88.00%
Light pink ,#FFB6C1 ,100.00%,71.00%,76.00%,351° ,100.00%,86.00%,29.00%,100.00%
Light purple ,#D8BFD8 ,85.00%,75.00%,85.00%,300° ,24.00%,80.00%,12.00%,85.00%
Light salmon ,#FFA07A ,100.00%,63.00%,48.00%,17° ,100.00%,74.00%,52.00%,100.00%
Light sea green ,#20B2AA ,13.00%,70.00%,67.00%,177° ,70.00%,41.00%,82.00%,70.00%
Light sky blue ,#87CEFA ,53.00%,81.00%,98.00%,203° ,92.00%,75.00%,46.00%,98.00%
Light slate gray ,#778899 ,47.00%,53.00%,60.00%,210° ,14.00%,53.00%,22.00%,60.00%
Light steel blue ,#B0C4DE ,69.00%,77.00%,87.00%,214° ,41.00%,78.00%,21.00%,87.00%
Light yellow ,#FFFFE0 ,100.00%,100.00%,88.00%,60° ,100.00%,94.00%,12.00%,100.00%
Lilac ,#C8A2C8 ,78.00%,64.00%,78.00%,300° ,26.00%,71.00%,19.00%,78.00%
Lilac Luster ,#AE98AA ,68.00%,60.00%,67.00%,311° ,12.00%,64.00%,13.00%,68.00%
Lime (color wheel) ,#BFFF00 ,75.00%,100.00%,0.00%,75° ,100.00%,50.00%,100.00%,100.00%
Lime (web) (X11 green) ,#00FF00 ,0.00%,100.00%,0.00%,120° ,100.00%,50.00%,100.00%,100.00%
Lime green ,#32CD32 ,20.00%,80.00%,20.00%,120° ,61.00%,50.00%,76.00%,80.00%
Lincoln green ,#195905 ,10.00%,35.00%,2.00%,106° ,89.00%,18.00%,94.00%,35.00%
Linen ,#FAF0E6 ,98.00%,94.00%,90.00%,30° ,67.00%,94.00%,8.00%,98.00%
Lion ,#DECC9C ,87.00%,80.00%,61.00%,44° ,50.00%,74.00%,30.00%,87.00%
Liseran purple ,#DE6FA1 ,87.00%,44.00%,63.00%,333° ,63.00%,65.00%,50.00%,87.00%
Little boy blue ,#6CA0DC ,42.00%,63.00%,86.00%,212° ,62.00%,64.00%,51.00%,86.00%
Liver ,#674C47 ,40.00%,30.00%,28.00%,9° ,18.00%,34.00%,31.00%,40.00%
Liver (dogs) ,#B86D29 ,72.00%,43.00%,16.00%,29° ,64.00%,44.00%,78.00%,72.00%
Liver (organ) ,#6C2E1F ,42.00%,18.00%,12.00%,12° ,55.00%,27.00%,71.00%,42.00%
Liver chestnut ,#987456 ,60.00%,45.00%,34.00%,27° ,28.00%,47.00%,43.00%,60.00%
Livid ,#6699CC ,40.00%,60.00%,80.00%,210° ,50.00%,60.00%,50.00%,80.00%
Macaroni and Cheese ,#FFBD88 ,100.00%,74.00%,53.00%,27° ,100.00%,77.00%,47.00%,100.00%
Madder Lake ,#CC3336 ,80.00%,20.00%,21.00%,359° ,60.00%,50.00%,75.00%,80.00%
Magenta ,#FF00FF ,100.00%,0.00%,100.00%,300° ,100.00%,50.00%,100.00%,100.00%
Magenta (Crayola),#F653A6 ,96.00%,33.00%,65.00%,329° ,90.00%,65.00%,66.00%,97.00%
Magenta (dye) ,#CA1F7B ,79.00%,12.00%,48.00%,328° ,73.00%,46.00%,85.00%,79.00%
Magenta (Pantone) ,#D0417E ,82.00%,25.00%,49.00%,334° ,60.00%,54.00%,69.00%,82.00%
Magenta (process) ,#FF0090 ,100.00%,0.00%,56.00%,326° ,100.00%,50.00%,100.00%,100.00%
Magenta haze ,#9F4576 ,62.00%,27.00%,46.00%,327° ,39.00%,45.00%,57.00%,62.00%
Magic mint ,#AAF0D1 ,67.00%,94.00%,82.00%,153° ,70.00%,80.00%,29.00%,94.00%
Magnolia ,#F2E8D7 ,95.00%,91.00%,84.00%,38° ,51.00%,90.00%,11.00%,95.00%
Mahogany ,#C04000 ,75.00%,25.00%,0.00%,20° ,100.00%,38.00%,100.00%,75.00%
Maize ,#FBEC5D ,98.00%,93.00%,36.00%,54° ,95.00%,67.00%,63.00%,98.00%
Maize (Crayola) ,#F2C649 ,95.00%,78.00%,29.00%,44° ,87.00%,62.00%,70.00%,95.00%
Majorelle blue ,#6050DC ,38.00%,31.00%,86.00%,247° ,67.00%,59.00%,64.00%,86.00%
Malachite ,#0BDA51 ,4.00%,85.00%,32.00%,140° ,90.00%,45.00%,95.00%,85.00%
Manatee ,#979AAA ,59.00%,60.00%,67.00%,231° ,10.00%,63.00%,11.00%,67.00%
Mandarin ,#F37A48 ,95.00%,48.00%,28.00%,18° ,88.00%,62.00%,70.00%,95.00%
Mango ,#FDBE02 ,99.00%,75.00%,1.00%,46° ,98.00%,50.00%,99.00%,99.00%
Mango Tango ,#FF8243 ,100.00%,51.00%,26.00%,20° ,100.00%,63.00%,74.00%,100.00%
Mantis ,#74C365 ,45.00%,76.00%,40.00%,110° ,44.00%,58.00%,48.00%,76.00%
Mardi Gras ,#880085 ,53.00%,0.00%,52.00%,301° ,100.00%,27.00%,100.00%,53.00%
Marigold ,#EAA221 ,92.00%,64.00%,13.00%,39° ,83.00%,52.00%,85.00%,91.00%
Maroon (Crayola) ,#C32148 ,76.00%,13.00%,28.00%,346° ,71.00%,45.00%,83.00%,76.00%
Maroon (web) ,#800000 ,50.00%,0.00%,0.00%,0° ,100.00%,25.00%,100.00%,50.00%
Maroon (X11) ,#B03060 ,69.00%,19.00%,38.00%,338° ,57.00%,44.00%,73.00%,69.00%
Mauve ,#E0B0FF ,88.00%,69.00%,100.00%,276° ,100.00%,85.00%,31.00%,100.00%
Mauve taupe ,#915F6D ,57.00%,37.00%,43.00%,343° ,21.00%,47.00%,34.00%,57.00%
Mauvelous ,#EF98AA ,94.00%,60.00%,67.00%,348° ,73.00%,77.00%,36.00%,94.00%
Maximum blue ,#47ABCC ,28.00%,67.00%,80.00%,195° ,57.00%,54.00%,65.00%,80.00%
Maximum blue green ,#30BFBF ,19.00%,75.00%,75.00%,180° ,60.00%,47.00%,75.00%,75.00%
Maximum blue purple ,#ACACE6 ,67.00%,67.00%,90.00%,240° ,54.00%,79.00%,25.00%,90.00%
Maximum green ,#5E8C31 ,37.00%,55.00%,19.00%,90° ,48.00%,37.00%,65.00%,55.00%
Maximum green yellow ,#D9E650 ,85.00%,90.00%,31.00%,65° ,75.00%,61.00%,65.00%,90.00%
Maximum purple ,#733380 ,45.00%,20.00%,50.00%,290° ,43.00%,35.00%,60.00%,50.00%
Maximum red ,#D92121 ,85.00%,13.00%,13.00%,0° ,74.00%,49.00%,85.00%,85.00%
Maximum red purple ,#A63A79 ,65.00%,23.00%,47.00%,325° ,48.00%,44.00%,65.00%,65.00%
Maximum yellow ,#FAFA37 ,98.00%,98.00%,22.00%,60° ,95.00%,60.00%,78.00%,98.00%
Maximum yellow red ,#F2BA49 ,95.00%,73.00%,29.00%,40° ,87.00%,62.00%,70.00%,95.00%
May green ,#4C9141 ,30.00%,57.00%,25.00%,112° ,38.00%,41.00%,55.00%,57.00%
Maya blue ,#73C2FB ,45.00%,76.00%,98.00%,205° ,94.00%,72.00%,54.00%,98.00%
Medium aquamarine ,#66DDAA ,40.00%,87.00%,67.00%,154° ,64.00%,63.00%,54.00%,87.00%
Medium blue ,#0000CD ,0.00%,0.00%,80.00%,240° ,100.00%,40.00%,100.00%,80.00%
Medium candy apple red ,#E2062C ,89.00%,2.00%,17.00%,350° ,95.00%,45.00%,97.00%,89.00%
Medium carmine ,#AF4035 ,69.00%,25.00%,21.00%,5° ,54.00%,45.00%,70.00%,69.00%
Medium champagne ,#F3E5AB ,95.00%,90.00%,67.00%,48° ,75.00%,81.00%,30.00%,95.00%
Medium orchid ,#BA55D3 ,73.00%,33.00%,83.00%,288° ,59.00%,58.00%,60.00%,83.00%
Medium purple ,#9370DB ,58.00%,44.00%,86.00%,260° ,60.00%,65.00%,49.00%,86.00%
Medium sea green ,#3CB371 ,24.00%,70.00%,44.00%,147° ,50.00%,47.00%,66.00%,70.00%
Medium slate blue ,#7B68EE ,48.00%,41.00%,93.00%,249° ,80.00%,67.00%,56.00%,93.00%
Medium spring green ,#00FA9A ,0.00%,98.00%,60.00%,157° ,100.00%,49.00%,100.00%,98.00%
