Name,Hex (RGB),Red (RGB),Green (RGB),Blue (RGB),Hue (HSL/HSV),Saturation (HSL),Light (HSL),Saturation (HSV),Value (HSV)
Medium turquoise ,#48D1CC ,28.00%,82.00%,80.00%,178° ,60.00%,55.00%,66.00%,82.00%
Medium violet-red ,#C71585 ,78.00%,8.00%,52.00%,322° ,81.00%,43.00%,89.00%,78.00%
Mellow apricot ,#F8B878 ,97.00%,72.00%,47.00%,30° ,90.00%,72.00%,52.00%,97.00%
Mellow yellow ,#F8DE7E ,97.00%,87.00%,49.00%,47° ,90.00%,73.00%,49.00%,97.00%
Melon ,#FEBAAD ,100.00%,73.00%,68.00%,10° ,98.00%,84.00%,32.00%,100.00%
Metallic gold ,#D3AF37 ,83.00%,69.00%,22.00%,46° ,64.00%,52.00%,74.00%,83.00%
Metallic Seaweed ,#0A7E8C ,4.00%,49.00%,55.00%,186° ,87.00%,29.00%,93.00%,55.00%
Metallic Sunburst ,#9C7C38 ,61.00%,49.00%,22.00%,41° ,47.00%,42.00%,64.00%,61.00%
Mexican pink ,#E4007C ,89.00%,0.00%,49.00%,327° ,100.00%,45.00%,100.00%,89.00%
Middle blue ,#7ED4E6 ,49.00%,83.00%,90.00%,190° ,68.00%,70.00%,45.00%,90.00%
Middle blue green ,#8DD9CC ,55.00%,85.00%,80.00%,170° ,50.00%,70.00%,35.00%,85.00%
Middle blue purple ,#8B72BE ,55.00%,45.00%,75.00%,260° ,37.00%,60.00%,40.00%,75.00%
Middle grey ,#8B8680 ,55.00%,53.00%,50.00%,33° ,5.00%,52.00%,8.00%,55.00%
Middle green ,#4D8C57 ,30.00%,55.00%,34.00%,130° ,29.00%,43.00%,45.00%,55.00%
Middle green yellow ,#ACBF60 ,67.00%,75.00%,38.00%,72° ,43.00%,56.00%,50.00%,75.00%
Middle purple ,#D982B5 ,85.00%,51.00%,71.00%,325° ,53.00%,68.00%,40.00%,85.00%
Middle red ,#E58E73 ,90.00%,56.00%,45.00%,15° ,69.00%,68.00%,50.00%,90.00%
Middle red purple ,#A55353 ,65.00%,33.00%,33.00%,0° ,33.00%,49.00%,50.00%,65.00%
Middle yellow ,#FFEB00 ,100.00%,92.00%,0.00%,55° ,100.00%,50.00%,100.00%,100.00%
Middle yellow red ,#ECB176 ,93.00%,69.00%,46.00%,30° ,76.00%,69.00%,50.00%,93.00%
Midnight ,#702670 ,44.00%,15.00%,44.00%,300° ,49.00%,29.00%,66.00%,44.00%
Midnight blue ,#191970 ,10.00%,10.00%,44.00%,240° ,64.00%,27.00%,78.00%,44.00%
Midnight green (eagle green) ,#004953 ,0.00%,29.00%,33.00%,187° ,100.00%,16.00%,100.00%,33.00%
Mikado yellow ,#FFC40C ,100.00%,77.00%,5.00%,45° ,100.00%,52.00%,95.00%,100.00%
Mimi pink ,#FFDAE9 ,100.00%,85.00%,91.00%,336° ,100.00%,93.00%,15.00%,100.00%
Mindaro ,#E3F988 ,89.00%,98.00%,53.00%,72° ,90.00%,75.00%,45.00%,98.00%
Ming ,#36747D ,21.00%,45.00%,49.00%,188° ,40.00%,35.00%,56.00%,49.00%
Minion yellow ,#F5E050 ,96.00%,86.00%,31.00%,52° ,89.00%,64.00%,67.00%,96.00%
Mint ,#3EB489 ,24.00%,71.00%,54.00%,158° ,49.00%,47.00%,66.00%,71.00%
Mint cream ,#F5FFFA ,96.00%,100.00%,98.00%,150° ,100.00%,98.00%,4.00%,100.00%
Mint green ,#98FF98 ,60.00%,100.00%,60.00%,120° ,100.00%,80.00%,40.00%,100.00%
Misty moss ,#BBB477 ,73.00%,71.00%,47.00%,54° ,33.00%,60.00%,36.00%,73.00%
Misty rose ,#FFE4E1 ,100.00%,89.00%,88.00%,6° ,100.00%,94.00%,12.00%,100.00%
Moccasin ,#FFE4B5 ,100.00%,89.00%,71.00%,38° ,100.00%,86.00%,29.00%,100.00%
Mode beige ,#967117 ,59.00%,44.00%,9.00%,43° ,73.00%,34.00%,85.00%,59.00%
Mona Lisa ,#FF948E ,100.00%,58.00%,56.00%,3° ,100.00%,78.00%,44.00%,100.00%
Morning blue ,#8DA399 ,55.00%,64.00%,60.00%,153° ,11.00%,60.00%,14.00%,64.00%
Moss green ,#8A9A5B ,54.00%,60.00%,36.00%,75° ,26.00%,48.00%,41.00%,60.00%
Mountain Meadow ,#30BA8F ,19.00%,73.00%,56.00%,161° ,59.00%,46.00%,74.00%,73.00%
Mountbatten pink ,#997A8D ,60.00%,48.00%,55.00%,323° ,13.00%,54.00%,20.00%,60.00%
MSU green ,#18453B ,9.00%,27.00%,23.00%,167° ,48.00%,18.00%,65.00%,27.00%
Mulberry ,#C54B8C ,77.00%,29.00%,55.00%,328° ,51.00%,53.00%,62.00%,77.00%
Mulberry (Crayola) ,#C8509B ,78.00%,31.00%,61.00%,323° ,52.00%,55.00%,60.00%,78.00%
Mustard ,#FFDB58 ,100.00%,86.00%,35.00%,47° ,100.00%,67.00%,65.00%,100.00%
Myrtle green ,#317873 ,19.00%,47.00%,45.00%,176° ,42.00%,33.00%,59.00%,47.00%
Mystic ,#D65282 ,84.00%,32.00%,51.00%,338° ,62.00%,58.00%,62.00%,84.00%
Mystic maroon ,#AD4379 ,68.00%,26.00%,47.00%,329° ,44.00%,47.00%,62.00%,68.00%
Nadeshiko pink ,#F6ADC6 ,96.00%,68.00%,78.00%,339° ,80.00%,82.00%,80.00%,82.00%
Naples yellow ,#FADA5E ,98.00%,85.00%,37.00%,48° ,94.00%,67.00%,62.00%,98.00%
Navajo white ,#FFDEAD ,100.00%,87.00%,68.00%,36° ,100.00%,84.00%,32.00%,100.00%
Navy blue ,#000080 ,0.00%,0.00%,50.00%,240° ,100.00%,25.00%,100.00%,50.00%
Navy blue (Crayola) ,#1974D2 ,10.00%,45.00%,82.00%,210° ,79.00%,46.00%,88.00%,82.00%
Neon blue ,#4666FF ,27.00%,40.00%,100.00%,230° ,100.00%,64.00%,73.00%,100.00%
Neon green ,#39FF14 ,22.00%,100.00%,8.00%,111° ,100.00%,54.00%,92.00%,100.00%
Neon fuchsia ,#FE4164 ,100.00%,25.00%,39.00%,349° ,99.00%,63.00%,74.00%,100.00%
New Car ,#214FC6 ,13.00%,31.00%,78.00%,223° ,71.00%,45.00%,83.00%,78.00%
New York pink ,#D7837F ,84.00%,51.00%,50.00%,3° ,52.00%,67.00%,41.00%,84.00%
Nickel ,#727472 ,45.00%,45.00%,45.00%,120° ,1.00%,45.00%,2.00%,46.00%
Non-photo blue ,#A4DDED ,64.00%,87.00%,93.00%,193° ,67.00%,79.00%,31.00%,93.00%
Nyanza ,#E9FFDB ,91.00%,100.00%,86.00%,97° ,100.00%,93.00%,14.00%,100.00%
Ochre ,#CC7722 ,80.00%,47.00%,13.00%,30° ,71.00%,47.00%,83.00%,80.00%
Old burgundy ,#43302E ,26.00%,19.00%,18.00%,6° ,19.00%,22.00%,31.00%,26.00%
Old gold ,#CFB53B ,81.00%,71.00%,23.00%,49° ,61.00%,52.00%,71.00%,81.00%
Old lace ,#FDF5E6 ,99.00%,96.00%,90.00%,39° ,85.00%,95.00%,9.00%,99.00%
Old lavender ,#796878 ,47.00%,41.00%,47.00%,304° ,8.00%,44.00%,14.00%,47.00%
Old mauve ,#673147 ,40.00%,19.00%,28.00%,336° ,36.00%,30.00%,52.00%,40.00%
Old rose ,#C08081 ,75.00%,50.00%,51.00%,359° ,34.00%,63.00%,33.00%,75.00%
Old silver ,#848482 ,52.00%,52.00%,51.00%,60° ,1.00%,51.00%,2.00%,52.00%
Olive ,#808000 ,50.00%,50.00%,0.00%,60° ,100.00%,25.00%,100.00%,50.00%
Olive Drab (#3) ,#6B8E23 ,42.00%,56.00%,14.00%,80° ,61.00%,35.00%,75.00%,56.00%
Olive Drab #7 ,#3C341F ,24.00%,20.00%,12.00%,43° ,32.00%,18.00%,48.00%,24.00%
Olive green ,#B5B35C ,71.00%,70.00%,36.00%,59° ,38.00%,54.00%,49.00%,71.00%
Olivine ,#9AB973 ,60.00%,73.00%,45.00%,87° ,33.00%,59.00%,38.00%,73.00%
Onyx ,#353839 ,21.00%,22.00%,22.00%,195° ,4.00%,22.00%,7.00%,22.00%
Opal ,#A8C3BC ,66.00%,76.00%,74.00%,164° ,18.00%,71.00%,14.00%,76.00%
Opera mauve ,#B784A7 ,72.00%,52.00%,65.00%,319° ,26.00%,62.00%,28.00%,72.00%
Orange ,#FF7F00 ,100.00%,50.00%,0.00%,30° ,100.00%,50.00%,100.00%,100.00%
Orange (Crayola) ,#FF7538 ,100.00%,46.00%,22.00%,18° ,100.00%,61.00%,78.00%,100.00%
Orange (Pantone) ,#FF5800 ,100.00%,35.00%,0.00%,21° ,100.00%,50.00%,100.00%,100.00%
Orange (web) ,#FFA500 ,100.00%,65.00%,0.00%,39° ,100.00%,50.00%,100.00%,100.00%
Orange peel ,#FF9F00 ,100.00%,62.00%,0.00%,37° ,100.00%,50.00%,100.00%,100.00%
Orange-red ,#FF681F ,100.00%,41.00%,12.00%,20° ,100.00%,56.00%,88.00%,100.00%
Orange-red (Crayola) ,#FF5349 ,100.00%,33.00%,29.00%,4° ,100.00%,64.00%,71.00%,100.00%
Orange soda ,#FA5B3D ,98.00%,36.00%,24.00%,10° ,95.00%,61.00%,76.00%,98.00%
Orange-yellow ,#F5BD1F ,96.00%,74.00%,12.00%,44° ,92.00%,54.00%,87.00%,96.00%
Orange-yellow (Crayola) ,#F8D568 ,97.00%,84.00%,41.00%,45° ,91.00%,69.00%,58.00%,97.00%
Orchid ,#DA70D6 ,85.00%,44.00%,84.00%,302° ,59.00%,65.00%,49.00%,85.00%
Orchid pink ,#F2BDCD ,95.00%,74.00%,80.00%,342° ,67.00%,85.00%,22.00%,95.00%
Orchid (Crayola) ,#E29CD2 ,89.00%,61.00%,82.00%,314° ,55.00%,75.00%,31.00%,89.00%
Outer space (Crayola) ,#2D383A ,18.00%,22.00%,23.00%,189° ,13.00%,20.00%,22.00%,23.00%
Outrageous Orange ,#FF6E4A ,100.00%,43.00%,29.00%,12° ,100.00%,65.00%,71.00%,100.00%
Oxblood ,#4A0000 ,29.00%,0.00%,0.00%,0° ,100.00%,15.00%,100.00%,29.00%
Oxford blue ,#002147 ,0.00%,13.00%,28.00%,212° ,100.00%,14.00%,100.00%,28.00%
OU Crimson red ,#841617 ,52.00%,9.00%,9.00%,360° ,71.00%,30.00%,83.00%,52.00%
Pacific blue ,#1CA9C9 ,11.00%,66.00%,79.00%,191° ,76.00%,45.00%,86.00%,79.00%
Pakistan green ,#006600 ,0.00%,40.00%,0.00%,120° ,100.00%,20.00%,100.00%,40.00%
Palatinate purple ,#682860 ,41.00%,16.00%,38.00%,308° ,44.00%,28.00%,62.00%,41.00%
Pale aqua ,#BED3E5 ,75.00%,83.00%,90.00%,208° ,43.00%,84.00%,17.00%,90.00%
Pale cerulean ,#9BC4E2 ,61.00%,77.00%,89.00%,205° ,55.00%,75.00%,31.00%,89.00%
Pale Dogwood ,#ED7A9B ,93.00%,48.00%,61.00%,334° ,76.00%,70.00%,48.00%,92.00%
Pale pink ,#FADADD ,98.00%,85.00%,87.00%,354° ,76.00%,92.00%,13.00%,98.00%
Pale purple (Pantone) ,#FAE6FA ,98.00%,90.00%,98.00%,300° ,67.00%,94.00%,8.00%,98.00%
Pale spring bud ,#ECEBBD ,93.00%,92.00%,74.00%,59° ,55.00%,83.00%,20.00%,93.00%
Pansy purple ,#78184A ,47.00%,9.00%,29.00%,329° ,67.00%,28.00%,80.00%,47.00%
Paolo Veronese green ,#009B7D ,0.00%,61.00%,49.00%,168° ,100.00%,30.00%,100.00%,61.00%
Papaya whip ,#FFEFD5 ,100.00%,94.00%,84.00%,37° ,100.00%,92.00%,16.00%,100.00%
Paradise pink ,#E63E62 ,90.00%,24.00%,38.00%,347° ,77.00%,57.00%,73.00%,90.00%
Parchment ,#F1E9D2 ,95.00%,91.00%,82.00%,45° ,53.00%,88.00%,13.00%,95.00%
Paris Green ,#50C878 ,31.00%,78.00%,47.00%,140° ,52.00%,55.00%,60.00%,78.00%
Pastel pink ,#DEA5A4 ,87.00%,65.00%,64.00%,1° ,47.00%,76.00%,26.00%,87.00%
Patriarch ,#800080 ,50.00%,0.00%,50.00%,300° ,100.00%,25.00%,100.00%,50.00%
Paua ,#1F005E ,12.00%,0.00%,37.00%,260° ,100.00%,18.00%,100.00%,37.00%
Payne's grey ,#536878 ,33.00%,41.00%,47.00%,206° ,18.00%,40.00%,31.00%,47.00%
Peach ,#FFE5B4 ,100.00%,90.00%,71.00%,39° ,100.00%,85.00%,29.00%,100.00%
Peach (Crayola) ,#FFCBA4 ,100.00%,80.00%,64.00%,26° ,100.00%,82.00%,36.00%,100.00%
Peach puff ,#FFDAB9 ,100.00%,85.00%,73.00%,28° ,100.00%,86.00%,27.00%,100.00%
Pear ,#D1E231 ,82.00%,89.00%,19.00%,66° ,75.00%,54.00%,78.00%,89.00%
Pearly purple ,#B768A2 ,72.00%,41.00%,64.00%,316° ,35.00%,56.00%,43.00%,72.00%
Periwinkle ,#CCCCFF ,80.00%,80.00%,100.00%,240° ,100.00%,90.00%,20.00%,100.00%
Periwinkle (Crayola) ,#C3CDE6 ,76.00%,80.00%,90.00%,223° ,41.00%,83.00%,15.00%,90.00%
Permanent Geranium Lake ,#E12C2C ,88.00%,17.00%,17.00%,0° ,75.00%,53.00%,80.00%,88.00%
Persian blue ,#1C39BB ,11.00%,22.00%,73.00%,229° ,74.00%,42.00%,85.00%,73.00%
Persian green ,#00A693 ,0.00%,65.00%,58.00%,173° ,100.00%,33.00%,100.00%,65.00%
Persian indigo ,#32127A ,20.00%,7.00%,48.00%,258° ,74.00%,27.00%,85.00%,48.00%
Persian orange ,#D99058 ,85.00%,56.00%,35.00%,26° ,63.00%,60.00%,59.00%,85.00%
Persian pink ,#F77FBE ,97.00%,50.00%,75.00%,329° ,88.00%,73.00%,49.00%,97.00%
Persian plum ,#701C1C ,44.00%,11.00%,11.00%,0° ,60.00%,27.00%,75.00%,44.00%
Persian red ,#CC3333 ,80.00%,20.00%,20.00%,0° ,60.00%,50.00%,75.00%,80.00%
Persian rose ,#FE28A2 ,100.00%,16.00%,64.00%,326° ,99.00%,58.00%,84.00%,100.00%
Persimmon ,#EC5800 ,93.00%,35.00%,0.00%,22° ,100.00%,46.00%,100.00%,93.00%
Pewter Blue ,#8BA8B7 ,55.00%,66.00%,72.00%,200° ,23.00%,63.00%,24.00%,72.00%
Phlox ,#DF00FF ,87.00%,0.00%,100.00%,292° ,100.00%,50.00%,100.00%,100.00%
Phthalo blue ,#000F89 ,0.00%,6.00%,54.00%,233° ,100.00%,27.00%,100.00%,54.00%
Phthalo green ,#123524 ,7.00%,21.00%,14.00%,151° ,49.00%,14.00%,66.00%,21.00%
Picotee blue ,#2E2787 ,18.00%,15.00%,53.00%,244° ,55.00%,34.00%,71.00%,53.00%
Pictorial carmine ,#C30B4E ,76.00%,4.00%,31.00%,338° ,89.00%,40.00%,94.00%,76.00%
Piggy pink ,#FDDDE6 ,99.00%,87.00%,90.00%,343° ,89.00%,93.00%,13.00%,99.00%
Pine green ,#01796F ,0.00%,47.00%,44.00%,175° ,98.00%,24.00%,99.00%,47.00%
Pine green ,#2A2F23 ,16.00%,18.00%,14.00%,85° ,15.00%,16.00%,26.00%,18.00%
Pink ,#FFC0CB ,100.00%,75.00%,80.00%,350° ,100.00%,88.00%,25.00%,100.00%
Pink (Pantone) ,#D74894 ,84.00%,28.00%,58.00%,328° ,64.00%,56.00%,67.00%,84.00%
Pink lace ,#FFDDF4 ,100.00%,87.00%,96.00%,319° ,100.00%,93.00%,13.00%,100.00%
Pink lavender ,#D8B2D1 ,85.00%,70.00%,82.00%,311° ,33.00%,77.00%,18.00%,85.00%
Pink Sherbet ,#F78FA7 ,97.00%,56.00%,65.00%,346° ,87.00%,76.00%,42.00%,97.00%
Pistachio ,#93C572 ,58.00%,77.00%,45.00%,96° ,42.00%,61.00%,42.00%,77.00%
Platinum ,#E5E4E2 ,90.00%,89.00%,89.00%,40° ,6.00%,89.00%,1.00%,90.00%
Plum ,#8E4585 ,56.00%,27.00%,52.00%,307° ,35.00%,41.00%,51.00%,56.00%
Plum (web) ,#DDA0DD ,87.00%,63.00%,87.00%,300° ,47.00%,75.00%,28.00%,87.00%
Plump Purple ,#5946B2 ,35.00%,27.00%,70.00%,251° ,44.00%,49.00%,61.00%,70.00%
Polished Pine ,#5DA493 ,36.00%,64.00%,58.00%,166° ,28.00%,50.00%,43.00%,64.00%
Pomp and Power ,#86608E ,53.00%,38.00%,56.00%,290° ,19.00%,47.00%,32.00%,56.00%
Popstar ,#BE4F62 ,75.00%,31.00%,38.00%,350° ,46.00%,53.00%,58.00%,75.00%
Portland Orange ,#FF5A36 ,100.00%,35.00%,21.00%,11° ,100.00%,61.00%,79.00%,100.00%
Powder blue ,#B0E0E6 ,69.00%,88.00%,90.00%,187° ,52.00%,80.00%,23.00%,90.00%
Prairie gold ,#E1CA7A ,88.00%,79.00%,48.00%,47° ,63.00%,84.00%,46.00%,88.00%
Princeton orange ,#F58025 ,96.00%,50.00%,15.00%,26° ,91.00%,55.00%,85.00%,96.00%
Prune ,#701C1C ,44.00%,11.00%,11.00%,0° ,60.00%,27.00%,75.00%,44.00%
Prussian blue ,#003153 ,0.00%,19.00%,33.00%,205° ,100.00%,16.00%,100.00%,33.00%
Psychedelic purple ,#DF00FF ,87.00%,0.00%,100.00%,292° ,100.00%,50.00%,100.00%,100.00%
Puce ,#CC8899 ,80.00%,53.00%,60.00%,345° ,40.00%,67.00%,33.00%,80.00%
Pullman Brown (UPS Brown) ,#644117 ,39.00%,25.00%,9.00%,33° ,63.00%,24.00%,77.00%,39.00%
Pumpkin ,#FF7518 ,100.00%,46.00%,9.00%,24° ,100.00%,55.00%,91.00%,100.00%
Purple ,#6A0DAD ,38.00%,0.00%,50.00%,275° ,100.00%,37.00%,92.00%,68.00%
Purple (web) ,#800080 ,50.00%,0.00%,50.00%,300° ,100.00%,25.00%,100.00%,50.00%
Purple (Munsell) ,#9F00C5 ,62.00%,0.00%,77.00%,288° ,100.00%,39.00%,100.00%,77.00%
Purple (X11) ,#A020F0 ,63.00%,13.00%,94.00%,277° ,87.00%,53.00%,87.00%,94.00%
Purple mountain majesty ,#9678B6 ,59.00%,47.00%,71.00%,269° ,30.00%,59.00%,34.00%,71.00%
Purple navy ,#4E5180 ,31.00%,32.00%,50.00%,236° ,24.00%,40.00%,39.00%,50.00%
Purple pizzazz,#FE4EDA ,100.00%,31.00%,85.00%,312° ,99.00%,65.00%,69.00%,100.00%
Purple Plum ,#9C51B6 ,61.00%,32.00%,71.00%,285° ,41.00%,52.00%,56.00%,71.00%
Purpureus ,#9A4EAE ,60.00%,31.00%,68.00%,288° ,38.00%,49.00%,55.00%,68.00%
Queen blue ,#436B95 ,26.00%,42.00%,58.00%,211° ,38.00%,42.00%,55.00%,58.00%
Queen pink ,#E8CCD7 ,91.00%,80.00%,84.00%,336° ,38.00%,85.00%,12.00%,91.00%
Quick Silver ,#A6A6A6 ,65.00%,65.00%,65.00%,—° ,0.00%,65.00%,0.00%,65.00%
Quinacridone magenta ,#8E3A59 ,56.00%,23.00%,35.00%,338° ,42.00%,39.00%,59.00%,56.00%
Radical Red ,#FF355E ,100.00%,21.00%,37.00%,348° ,100.00%,60.00%,79.00%,100.00%
Raisin black ,#242124 ,14.00%,13.00%,14.00%,300° ,4.00%,14.00%,8.00%,14.00%
Rajah ,#FBAB60 ,98.00%,67.00%,38.00%,29° ,95.00%,68.00%,62.00%,98.00%
Raspberry ,#E30B5D ,89.00%,4.00%,36.00%,337° ,91.00%,47.00%,95.00%,89.00%
Raspberry glacé ,#915F6D ,57.00%,37.00%,43.00%,343° ,21.00%,47.00%,34.00%,57.00%
Raspberry rose ,#B3446C ,70.00%,27.00%,42.00%,338° ,45.00%,48.00%,62.00%,70.00%
Raw sienna ,#D68A59 ,84.00%,54.00%,35.00%,24° ,60.00%,59.00%,58.00%,84.00%
Raw umber ,#826644 ,51.00%,40.00%,27.00%,33° ,31.00%,39.00%,48.00%,51.00%
Razzle dazzle rose ,#FF33CC ,100.00%,20.00%,80.00%,315° ,100.00%,60.00%,80.00%,100.00%
Razzmatazz ,#E3256B ,89.00%,15.00%,42.00%,338° ,77.00%,52.00%,84.00%,89.00%
Razzmic Berry ,#8D4E85 ,55.00%,31.00%,52.00%,308° ,29.00%,43.00%,45.00%,55.00%
Rebecca Purple ,#663399 ,40.00%,20.00%,60.00%,270° ,49.00%,40.00%,67.00%,60.00%
Red ,#FF0000 ,100.00%,0.00%,0.00%,0° ,100.00%,50.00%,100.00%,100.00%
Red (Crayola) ,#EE204D ,93.00%,13.00%,30.00%,347° ,86.00%,53.00%,87.00%,93.00%
Red (Munsell) ,#F2003C ,95.00%,0.00%,24.00%,345° ,100.00%,47.00%,100.00%,95.00%
Red (NCS) ,#C40233 ,77.00%,1.00%,20.00%,345° ,98.00%,39.00%,99.00%,77.00%
Red (Pantone) ,#ED2939 ,93.00%,16.00%,22.00%,355° ,85.00%,55.00%,83.00%,93.00%
Red (pigment) ,#ED1C24 ,93.00%,11.00%,14.00%,358° ,85.00%,52.00%,88.00%,93.00%
Red (RYB) ,#FE2712 ,100.00%,15.00%,7.00%,5° ,99.00%,53.00%,93.00%,100.00%
Red-orange ,#FF5349 ,100.00%,33.00%,29.00%,3° ,100.00%,64.00%,71.00%,100.00%
Red-orange (Crayola) ,#FF681F ,100.00%,41.00%,12.00%,20° ,100.00%,56.00%,88.00%,100.00%
Red-orange (Color wheel) ,#FF4500 ,100.00%,27.00%,0.00%,16° ,100.00%,50.00%,100.00%,100.00%
Red-purple ,#E40078 ,89.00%,0.00%,47.00%,328° ,100.00%,45.00%,100.00%,89.00%
Red Salsa ,#FD3A4A ,99.00%,23.00%,29.00%,355° ,98.00%,61.00%,77.00%,99.00%
Red-violet ,#C71585 ,78.00%,8.00%,52.00%,322° ,81.00%,43.00%,89.00%,78.00%
Red-violet (Crayola) ,#C0448F ,75.00%,27.00%,56.00%,324° ,50.00%,51.00%,65.00%,75.00%
Red-violet (Color wheel) ,#922B3E ,57.00%,17.00%,24.00%,350° ,55.00%,37.00%,71.00%,57.00%
Redwood ,#A45A52 ,64.00%,35.00%,32.00%,6° ,33.00%,48.00%,50.00%,64.00%
Resolution blue ,#002387 ,0.00%,14.00%,53.00%,224° ,100.00%,26.00%,100.00%,53.00%
Rhythm ,#777696 ,47.00%,46.00%,59.00%,242° ,13.00%,53.00%,21.00%,59.00%
Rich black ,#004040 ,0.00%,25.00%,25.00%,180° ,100.00%,13.00%,100.00%,25.00%
Rich black (FOGRA29) ,#010B13 ,0.00%,4.00%,7.00%,207° ,90.00%,4.00%,95.00%,8.00%
Rich black (FOGRA39) ,#010203 ,0.00%,1.00%,1.00%,210° ,50.00%,1.00%,67.00%,1.00%
Rifle green ,#444C38 ,27.00%,30.00%,22.00%,84° ,15.00%,26.00%,26.00%,30.00%
Robin egg blue ,#00CCCC ,0.00%,80.00%,80.00%,180° ,100.00%,40.00%,100.00%,80.00%
Rocket metallic ,#8A7F80 ,54.00%,50.00%,50.00%,355° ,5.00%,52.00%,8.00%,54.00%
Rojo Spanish red ,#A91101 ,66.00%,7.00%,0.00%,6° ,99.00%,33.00%,99.00%,66.00%
Roman silver ,#838996 ,51.00%,54.00%,59.00%,221° ,8.00%,55.00%,13.00%,59.00%
Rose ,#FF007F ,100.00%,0.00%,50.00%,330° ,100.00%,50.00%,100.00%,100.00%
Rose bonbon ,#F9429E ,98.00%,26.00%,62.00%,330° ,94.00%,62.00%,73.00%,98.00%
Rose Dust ,#9E5E6F ,62.00%,37.00%,44.00%,344° ,25.00%,49.00%,41.00%,62.00%
Rose ebony ,#674846 ,40.00%,28.00%,27.00%,4° ,19.00%,34.00%,32.00%,40.00%
Rose madder ,#E32636 ,89.00%,15.00%,21.00%,355° ,77.00%,52.00%,83.00%,89.00%
Rose pink ,#FF66CC ,100.00%,40.00%,80.00%,320° ,100.00%,70.00%,60.00%,100.00%
Rose Pompadour ,#ED7A9B ,93.00%,48.00%,61.00%,334° ,76.00%,70.00%,48.00%,92.00%
Rose red ,#C21E56 ,76.00%,12.00%,34.00%,340° ,73.00%,44.00%,85.00%,76.00%
Rose taupe ,#905D5D ,56.00%,36.00%,36.00%,0° ,22.00%,46.00%,35.00%,56.00%
Rose vale ,#AB4E52 ,67.00%,31.00%,32.00%,357° ,37.00%,49.00%,54.00%,67.00%
